	Heart	Liver	Ovary	Testis	lung	Adrenal	Gallbladder	Pancreas	Kidney	esophagus	colon	Rectum	urinary_bladder	prostate	placenta
DNAJA1	18.93	0	229.7	195.72	50.83	114.32	49.53	94.44	56.16	7.69	82.11	116.78	24.54	65.26	76.66
CCDC22	16.8	33.94	74.15	79.98	12.09	113.92	39.26	111.78	53.42	0	70.66	33.32	51.87	76.86	13.26
CISD2	122.29	392.95	245.3	242.69	130.61	207.84	54.55	425.25	137.44	45.15	155.02	120.04	108.09	82.14	286.52
LYVE1	4.82	29.23	21.29	0	8.1	6.94	63.11	8.02	0	0	7.47	0	26.05	0	35.52
TSPAN3	0	0	13.38	13.93	0	0	0	0	0	0	0	0	0	0	0
TALDO1	316.72	1037.2	688.84	545.83	789.76	514.03	488.4	511.68	604.1	560.41	399.56	390.82	488.78	423.45	583.05
HNRNPD	296.09	361.49	838.58	700.69	281.85	533.85	484.26	757.01	404.3	170.49	492.97	456.71	286.45	380.94	846.09
AMPD2	0	42.59	85.61	65.9	8.49	46.09	8.28	58.91	4.17	0	23.52	13.01	18.22	54.01	6.21
EXOSC9	0	14.02	19.14	27.91	0	9.98	0	23.08	0	0	5.38	10.7	0	8.55	6.39
ARHGEF10	0	0	7.42	23.17	0	0	3.66	0	0	0	3.47	0	0	1.38	2.06
SCARA3	0	0	0	0	0	0	4.26	0	0	0	0	0	0	0	0
RRAGC	26.88	19.39	105.93	114.73	12.89	55.23	12.56	38.32	33.24	7.8	35.7	59.24	29.04	28.38	21.21
LZTFL1	0	29.75	189.59	259.5	41.2	21.18	24.09	122.49	60.7	0	53.25	22.72	47.74	66.51	18.08
GPHN	6.39	83.88	21.15	31.81	7.15	73.51	24.38	102.72	15.8	0	29.7	26.28	11.5	28.85	0
MTFMT	11.63	3.91	0	4.45	0	0	0	0	0	0	0	0	0	0	0
PSMC2	160.65	215.14	335.21	433.36	134.82	190.85	142.8	296.22	189.97	134.74	232.67	210.09	135.82	180.63	257.17
ADAM28	0	0	2.15	0	0	0	0	0	0	0	0	0	0	0	7.18
KANK1	2.31	5.82	11.45	15.9	5.81	1.66	3.77	11.51	0	0	16.08	17.79	19.93	21.3	0
NEBL	1101.2	1.47	0	0	24.48	2.1	2.39	9.7	9.02	0	0	0	0	53.88	0
C1QTNF4	4.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPPL2C	2.28	0	0	10.48	0	0	0	0	0	0	0	0	0	0	0
CPNE5	2.58	7.83	0	11.87	4.34	0	4.23	4.3	3.19	0	0	3.99	0	3.18	0
DMAP1	0	3.24	17.68	18.41	0	4.61	5.24	15.99	0	0	0	0	0	7.89	0
TIGAR	0	34.23	24.93	45.44	9.48	48.75	27.72	28.19	6.98	0	43.77	26.14	48.83	34.79	52
CHMP4B	115.73	75.62	127.68	250.29	57.13	29.37	278.35	260.4	58.91	41.47	189.85	210.01	132.38	192.81	37.6
SART3	4.64	28.08	156.81	181.06	23.34	62.21	17.69	84.79	3.82	0	31.12	50.05	35.05	51.37	14.22
MXRA7	221.55	23.97	226.96	290.91	106.24	512.06	168.23	157.91	9.78	16.07	220.66	256.3	273.53	233.85	0
SLC12A5	1.35	0	0	0	2.26	0	0	0	3.33	0	0	0	0	0	2.48
LBH	0	0	0	15.97	23.33	0	0	0	0	0	0	0	0	0	0
DOK1	3.24	0	0	0	0	4.66	5.3	16.17	0	0	0	10	0	3.99	0
NMT1	11.96	87.57	79.17	96.19	30.11	34.4	9.78	44.75	11.09	6.07	32.43	27.67	32.3	36.82	11.01
EPHX1	0	2410.17	895.36	722.37	850.66	3127.73	220.35	538.82	463.99	410.35	288.25	311.72	478.22	371.32	141.73
PTGDS	169.62	0	151.48	176.32	13.56	11.62	145.31	147.76	99.85	16.4	0	0	26.18	129.3	0
FBLL1	4.9	0	37.83	39.4	16.44	56.35	32.05	16.29	12.11	9.95	15.18	37.78	0	0	0
SNCG	50.96	0	84.34	424.52	171.07	458.07	395.93	296.65	31.5	181.1	236.88	216.18	123.88	910.01	117.28
REV3L	1.44	0	0.53	0	0.81	0	0	0	1.79	0	0.75	0.74	1.04	0	0.89
PBX4	4.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT4	8.9	50.9	6.54	0	109.48	25.58	9.7	9.86	54.98	16598.45	0	18.29	12.81	80.33	5.46
DHX32	4.02	0	8.88	25.43	0	5.79	0	13.38	0	0	0	0	0	0	0
GUCY2C	0	1.39	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC39A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNKSR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPKAPK2	3.73	18.82	45.23	51.39	0	5.36	18.29	18.6	9.22	0	40.42	17.25	32.21	18.36	0
RNF207	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REEP5	466.26	351.15	252.83	272.39	411.17	352.31	155.1	236.57	293.09	144.42	293.85	195.03	375.63	369.8	247.32
ATPAF2	88.11	52.34	45.74	17.86	34.79	67.08	8.48	51.72	102.52	0	16.06	39.97	5.6	38.29	28.62
SAMHD1	25.88	106.91	347.77	316.23	410.62	314.63	277.02	356.03	40.72	119.42	364.47	283.03	249.05	283.9	60.63
RNASEH2C	0	0	0	21.88	15.98	0	15.57	47.5	0	0	14.75	14.69	0	58.62	0
NAIF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORM2	237.47	327.02	230.23	173.63	1002.46	238.02	317.77	119.68	560.47	964.38	245.28	288.59	272.09	186.09	13.25
CEP44	0	0	0	13.26	0	0	0	12.8	0	0	5.96	0	8.31	14.22	0
ATG9A	3.6	0	11.9	20.66	0	10.34	2.94	0	0	0	2.79	2.77	3.89	8.86	9.93
RNASE3	9.24	74.64	10.19	10.61	310.11	13.29	75.55	30.73	0	18.76	372.15	370.5	9.98	147.9	0
LRRC27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IPO7	45.48	70.32	72.12	58.78	33.39	73.57	25.57	26	8.78	72.14	35.23	37.27	24.56	38.5	44.48
MRPL28	0	5.69	37.28	19.41	0	40.5	0	28.1	6.96	0	17.45	8.69	0	0	10.37
ACSL3	42.24	63.99	72.23	58.24	46.08	100.23	17.27	105.38	26.11	38.6	62.17	26.06	34.22	85.83	97.2
C5orf24	16.87	0	37.23	19.39	0	0	0	0	0	0	0	0	0	0	0
CA13	0	11.65	0	0	19.36	33.18	9.43	19.19	7.13	0	8.94	0	0	14.21	0
HLA-DPB1	0	23.53	12.85	20.08	361.73	92.15	38.11	87.19	57.61	11.83	72.2	71.88	18.88	35.87	0
TRIM54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COPS2	0	53.19	232.43	208.02	22.1	66.28	16.15	114.97	36.63	40.1	178.5	101.55	92.46	141.88	36.36
RDH14	0	37.22	76.24	116.46	77.33	99.39	45.21	84.29	45.57	18.71	71.38	85.28	59.73	73.76	33.93
RHOB	0	38.77	59.29	79.39	103.09	143.53	25.11	12.77	85.42	31.18	71.37	71.05	58.06	66.18	28.27
API5	5.76	81.4	139.73	99.22	62.81	62.1	0	76.6	35.59	52.6	40.14	44.4	27.99	46.08	58.29
PSME3	5.76	40.69	69.86	125.66	48.31	99.34	47.07	95.74	49.82	93.51	44.59	26.64	12.44	85.06	116.57
EXOSC2	0	31.39	40	53.56	26.08	14.9	0	43.07	0	0	16.05	7.99	5.6	25.52	9.54
IK	0	23.53	82.84	104.11	8.69	26.06	8.47	86.12	6.4	0	24.07	3.99	5.59	15.94	19.07
DNAJC5	23.01	23.23	143.82	176.21	141.58	132.34	25.08	63.77	47.4	15.57	95.05	94.63	82.84	151.09	112.94
COMMD3	15.34	38.72	59.22	88.1	64.35	77.19	12.54	63.76	151.67	77.85	71.28	35.48	57.98	66.1	155.27
HTATSF1	7.91	11.99	98.22	93.19	3.32	68.28	12.94	36.19	0	0	18.39	24.41	27.78	29.24	3.64
PRKAB2	0	101.89	12.37	12.88	0	8.06	18.34	27.97	0	0	60.79	25.94	30.28	41.42	0
FUBP1	45.25	144.72	183.06	190.64	105.49	122.93	65.79	263.41	59.05	56.15	120.75	178.38	97.77	151.7	60.17
BTF3	22.99	154.75	185.96	140.85	25.72	77.13	12.53	63.71	75.78	46.67	106.84	130	33.11	66.05	141.05
UBQLN2	43.95	44.39	57.05	50.5	47.73	63.21	8.46	25.8	3.2	47.25	84.12	31.9	25.14	54.12	4.76
SPON1	5.6	0	47.37	40.76	62.67	18.8	338.95	62.1	4.62	0	52.07	95.04	76.64	82.77	3.44
HTRA2	45.21	24.58	42.2	71.92	35.02	85.02	45.5	52.05	55.89	7.06	32.33	21.46	18.78	38.54	38.41
OXSM	45.21	35.12	19.18	35.96	0	25	11.37	23.13	17.2	0	16.16	21.46	7.51	8.56	6.4
KIAA1407	7.68	0	3.39	1.76	0	0	0	0	0	0	0	0	0	0	0
C19orf10	45.19	273.79	209.37	218.04	106.17	194.94	236.48	556.09	78.21	0	224.02	292.72	136.68	289.34	449.18
CBR4	0	298.3	74.06	131.12	45.07	106.2	43.92	212.13	132.79	0	72.81	62.13	43.51	99.2	12.36
CSPG4	1.36	0	20.94	17.14	27.31	0	35.48	7.89	0	0	88.23	122.35	87.15	65.12	17.47
PYURF	0	0	0	0	0	0	0	0	0	0	0	20.7	0	0	0
CFHR1	45.11	50.11	159.26	243.6	128.71	181.65	339.39	97.53	161.74	0	69.89	34.79	38.99	127.77	24.91
CUL3	26.74	34.72	208.6	250.16	35.26	49.44	43.73	0	7.08	27.15	76.94	64.81	68.09	70.56	28.13
FTO	2.91	23.54	80.38	50.22	0	29.34	23.83	63.01	0	0	9.03	4.5	15.74	17.94	5.36
DNAJB1	4.46	63.12	285.68	287.25	22.48	115.57	51.11	74.25	44.16	45.33	96.84	89.52	120.58	104.46	115.06
APOL2	22.9	97.11	40.42	57.87	130.65	85.61	44.94	76.16	62.27	9.3	56.76	42.38	24.73	56.39	25.29
AP1G1	3.72	65.72	65.64	64.09	43.69	88.24	27.37	86.58	55.17	33.98	57.61	48.75	10.04	36.63	47.92
PPP1R12C	96.05	18.19	61.81	96.56	40.3	57.55	137.46	56.57	2.47	4.06	223.22	163.59	136.19	140.46	14.73
PTPMT1	7.44	7.51	24.61	42.71	12.48	53.46	0	12.37	36.77	0	11.52	0	0	9.16	41.06
NPEPL1	18.24	9.21	60.38	52.4	25.52	13.12	39.78	65.74	30.07	0	65.95	46.9	75.55	29.95	5.6
CD9	0	60.74	95.84	115.17	448.65	192.21	120.23	88.91	239.59	502.07	248.49	144.31	411.51	148.13	73.81
LMO7	44.95	36.5	1.94	13.17	139.06	0	5.77	57.17	0	5.37	9.56	2.72	0	8.68	8.11
MRPL9	44.93	34.03	37.18	64.53	28.28	72.69	0	37.36	34.72	0	26.1	25.99	0	6.92	20.68
AUH	0	67.44	52.62	49.32	16.01	164.63	0	87.26	106.14	0	36.95	29.43	15.46	76.36	96.59
UBAP2L	0	20.97	57.26	85.19	2.49	14.93	12.13	59.19	0	9.03	9.19	18.3	4.81	25.57	16.38
MRPS14	44.88	45.32	49.51	64.45	0	80.67	0	111.95	83.22	0	86.91	69.22	12.12	27.63	0
TOLLIP	44.87	90.63	37.13	77.33	37.66	112.93	82.56	233.2	62.41	11.39	17.38	25.95	36.36	103.61	30.98
OSBP	9.5	115.09	104.78	124.39	31.88	136.58	24.85	154.79	7.04	11.57	67.69	70.32	34.88	84.21	41.96
PSMF1	22.79	51.77	56.56	111.26	86.05	98.3	37.27	161.05	35.21	46.27	132.38	87.87	92.31	175.37	73.41
NUDT21	0	111.18	264.35	245.54	195.65	204.89	52.96	129.25	128.1	144.65	140.47	149.84	118.93	159.5	238.44
ACY1	7.4	1061.65	24.5	55.29	18.64	101.14	90.81	67.72	2928.82	0	51.62	97.06	27.99	59.26	0
PLAA	44.82	57.07	137.6	170.17	6.54	92.48	38.25	77.78	31.32	31.66	60.39	60.12	54.74	67.19	17.94
COASY	40.88	0	45.1	37.57	32.02	113.65	17.83	67.98	114.54	16.6	33.78	29.42	32.38	53.69	15.05
MAOA	0	1100.75	279.43	173.3	592.29	208.73	237.38	274.52	770.52	196.47	343.92	478.48	372.01	318.92	1655.55
PARVB	44.79	8.22	17.97	14.03	0	23.42	0	6.77	0	0	25.23	6.28	74.78	25.07	37.48
MRPS12	44.78	0	12.35	0	0	64.39	0	0	13.84	0	17.34	17.27	0	0	0
ASF1A	0	0	24.47	25.49	12.41	10.63	24.19	12.3	0	0	11.46	11.41	0	18.21	0
SCAMP3	31.05	58.24	78.31	122.33	141.47	133.98	50.79	125.42	38.39	18.02	48.11	68.43	38.34	49.17	98
TNFAIP8	0	0	16.29	16.97	24.79	0	0	24.56	0	14.99	22.88	45.56	7.98	36.37	81.56
SULT1A3	44.7	50.16	5.48	22.83	125.05	7.14	48.74	24.78	12.28	30.26	92.34	145.57	16.1	36.7	9.14
AGO1	8.74	15.88	121.44	92.34	29.32	50.25	54.29	58.11	0	0	46.02	48.51	50.96	68.85	3.22
ABCE1	22.71	73.9	77.94	153.65	8.47	50.8	41.27	172.05	15.6	20.49	43	42.81	35.44	71.47	41.81
INPP4B	14.6	0	8.95	0	0	0	2.65	10.79	0	0	7.54	2.5	7.01	5.99	0
PTPN11	44.67	77.7	82.14	114.06	45.82	103.51	32.47	94.93	30.68	5.04	115.36	95.71	104.57	161.98	41.12
CD68	0	45.85	20.04	5.22	53.34	39.18	37.13	22.65	0	0	42.21	28.01	29.43	11.18	8.36
MT-CO3	0	63	0	26.06	95.18	24.47	18.55	37.73	98.15	34.54	26.36	52.48	30.63	27.93	31.32
HLA-DRB3	5.67	22.9	12.51	0	504.27	0	18.54	18.86	70.08	11.51	35.13	43.72	18.37	34.9	0
HNMT	5.1	267.89	191.35	158.25	77.06	36.68	133.49	161.2	126.13	0	134.36	78.69	137.77	75.38	56.35
CNPY3	11.05	39.05	97.51	177.71	18.54	39.72	27.1	174.55	13.66	11.22	34.23	34.08	5.97	61.22	61.01
CHL1	1.26	0	36.07	10.11	0	1.81	12.34	12.55	4.66	5.11	33.12	50.43	13.58	24.78	0
TMLHE	0	27.71	75.68	35.47	0	9.87	0	28.52	29.68	0	15.94	5.29	3.71	4.22	0
ADIPOQ	0	0	28.38	29.55	129.51	83.23	105.17	10.69	15.9	26.11	49.81	29.76	62.52	47.51	0
NSF	41.13	149.53	229.14	340.23	144.96	147.87	97.54	342.01	124.57	33.41	194.35	139.57	104.41	197.53	94.64
CASK	0	27.74	82	55.69	27.12	39.5	21.14	67.18	7.99	0	37.55	62.31	24.44	85.56	2.97
UBFD1	10.18	10.28	39.29	70.15	0	0	8.32	33.85	0	0	7.88	31.39	5.5	18.8	0
MAT2B	36.18	169.01	154.69	155.9	45.55	71.55	59.18	97.79	117.43	36.74	49.05	69.77	78.18	116.97	116.57
EIF3F	0	150.69	189.56	270.14	113.83	195.08	147.9	248.16	78.26	128.54	189.15	125.54	83.04	133.63	133.18
RNASEH2A	0	0	0	11.69	0	7.31	0	59.21	0	0	0	0	10.99	6.26	0
MVP	44.46	157.15	426.36	402.76	654.37	927.11	397.14	409.52	534.85	270.83	339.12	422.02	114.53	183.2	169.99
GOLT1B	0	77.84	0	12.65	258.72	79.17	0	0	0	22.36	0	0	0	0	222.97
NCBP2	0	19.06	52.05	32.52	15.84	13.57	15.43	78.46	11.67	0	0	43.66	0	11.62	17.37
DDX17	44.43	230.78	494.89	542.13	259.25	286.04	166.11	425.8	162.18	128.89	236.03	293.74	173.72	224.09	245.4
CECR5	0	103.68	84.95	101.11	18.46	100.19	6	73.18	54.4	0	28.41	67.87	15.84	18.06	13.5
CUTA	44.43	35.89	29.41	40.83	29.83	38.33	14.53	236.43	98.86	36.08	192.72	95.94	0	153.18	81.78
ACTR10	7.34	11.11	52.61	71.64	12.31	42.2	12	36.6	22.67	14.9	45.46	45.26	19.81	31.62	13.5
HP1BP3	44.4	103.69	450.04	328.4	260.82	175.59	167.93	295.37	140.66	22.54	116.08	252.54	134.9	191.37	173.69
PDCD6IP	0	205.43	331.75	424.75	219.69	251.84	240.12	303	166.2	344.8	320.64	357.42	143.32	298.42	188.87
BCAP29	0	24.23	231.58	220.5	120.79	370.88	58.85	49.87	29.66	0	120.8	55.51	110.14	155.1	88.33
TOR1AIP1	43.59	80.26	246.08	232.71	159.21	117.99	0	225.99	15.85	5.21	150.94	118.64	130.18	176.81	37.76
RAB6C	0	0	13.22	20.65	0	25.84	0	19.92	22.22	0	0	0	0	0	55.14
MT-ND5	283.82	89.57	25.16	11.65	4.25	47.38	0	8.43	53.26	5.15	39.26	43	30.11	18.72	0
ARFGAP2	2.99	51.41	16.52	51.61	10.05	12.92	29.39	79.68	7.4	6.08	0	4.62	6.47	22.13	38.59
MRC1	1.02	92.99	49.66	58.77	345.15	61.8	88.69	51.05	13.91	16.62	49.14	99.42	55.26	18.9	90.41
TUBB6	44.29	10.32	105.24	82.2	80.05	24.5	200.59	56.66	12.64	214.44	179.46	215.45	184.01	151.03	31.36
BROX	0	25.83	80.64	109.17	12.27	36.79	23.91	48.62	40.66	14.84	56.62	50.73	23.69	63.01	0
NEK7	44.24	19.86	75.93	118.61	57.76	91.91	80.4	40.88	12.15	19.96	137.09	60.66	95.59	145.29	9.05
PSMB9	7.3	36.87	16.11	67.11	122.54	84	83.59	36.43	27.08	29.65	90.49	146.4	23.66	107.89	0
NDUFS3	0	414.04	266.43	238.76	207.38	630	137.79	158.79	965.13	650.03	287.15	216.58	236.63	165.99	444.59
C17orf89	65.7	22.12	24.16	50.32	0	0	0	0	27.07	0	0	0	23.66	26.97	0
SSPN	89.33	0	98.56	73.31	42.84	0	135.67	31.84	0	12.96	128.52	98.43	96.51	86.44	23.49
TUBAL3	17.02	10.31	7.51	7.82	22.85	4.89	11.13	0	4.21	0	10.55	10.5	11.03	0	0
MSRB3	0	0	0	18.85	13.77	0	13.42	13.64	0	0	152.54	126.55	115.22	131.34	0
EIF4EBP2	0	0	0	0	0	0	0	0	0	0	0	20.25	0	0	24.17
HIST1H3A	44.11	22.27	291.95	88.68	111.04	15.86	36.07	91.69	13.63	0	51.25	187.09	47.65	135.78	142.09
PDILT	0	5.15	0	17.57	0	0	0	0	0	5.17	3.95	0	2.75	0	0
AAMDC	254.8	12.87	84.33	131.74	106.91	109.93	83.35	148.32	47.25	25.87	177.65	196.51	96.34	188.26	0
SLC16A1	44.08	31.8	41.68	68.73	0	31.7	20.6	5.24	19.46	6.39	48.78	43.71	34.01	19.39	17.39
CARS2	27.3	41.35	18.07	31.36	0	78.51	0	31.78	30.37	0	16.92	12.63	5.9	13.45	0
GNPNAT1	0	413.34	162.56	319.77	54.96	11.77	40.16	176.98	50.6	66.49	114.14	63.13	44.22	151.21	15.07
TMEM126B	6.55	0	7.22	0	0	9.42	0	0	0	0	0	0	0	0	0
LSM1	11.19	0	24.69	25.71	0	16.09	0	18.61	13.83	0	52.01	17.26	24.18	13.78	61.8
NAPG	44	64.18	86.29	134.79	24.61	105.45	23.98	113.82	72.52	59.55	128.75	52.78	132.02	162.53	36
BCO2	43.97	67.91	0	0	0	0	0	0	0	0	0	0	0	0	0
CAND2	42.7	0	74.81	67.81	0	3.61	0	2.09	0	5.1	5.84	0	0	6.19	0
CCDC23	0	0	0	24.99	0	0	0	36.18	0	0	0	0	0	0	0
MRPL43	29	14.64	15.99	49.97	0	20.85	0	24.11	17.92	29.44	11.23	44.73	0	0	13.34
PYCRL	0	65.86	91.57	122.61	69.65	59.68	0	49.3	43.98	0	36.74	9.14	25.62	94.91	0
MRPS28	0	65.84	35.96	18.73	41.03	93.75	0	54.21	40.3	0	63.13	37.71	17.61	50.18	15
CMC4	43.85	0	0	0	0	0	107.57	109.39	0	0	0	33.82	0	27	0
PPP1R13L	43.85	1.93	2.1	2.19	9.6	0	6.24	66.58	0	11.61	2.95	5.88	6.18	14.09	17.55
BANF1	0	136.42	242.17	135.8	170.04	48.57	138.08	449.31	125.25	0	418.57	364.63	218.89	395.07	0
ARMC1	21.72	5.48	17.97	49.91	18.23	7.81	0	9.03	20.14	11.03	33.65	8.38	17.6	13.37	10
DNAJA2	66.83	56.24	196.62	337	31.16	74.75	24.29	117.32	36.72	30.16	143.81	103.09	40.11	109.73	34.18
REXO2	0	38.35	174.58	232.72	63.74	136.55	113.88	63.16	101.73	51.41	166.72	205.04	157.28	210.46	69.92
MPO	34.43	272.01	15.64	9.31	1084.29	37.86	185.49	84.2	32.55	16.45	266.7	259.27	41.57	239.41	22.37
DFFA	0	4.7	30.78	58.78	15.61	6.69	22.82	108.28	5.75	28.33	28.82	43.04	5.02	57.27	42.81
CHCHD2	43.8	33.17	84.55	125.8	0	31.49	53.72	182.09	0	88.93	16.96	118.22	11.83	107.86	60.47
DSG2	130.55	26.65	4.6	0	4.66	0	22.72	133.97	1.72	0	68.86	100.69	9	56.44	35.79
POLR1C	0	13.11	38.19	69.61	7.26	31.12	21.23	50.38	0	8.79	33.52	6.67	23.37	47.96	7.97
TPP1	0	327.66	217.22	181.61	158.25	1607.2	63.5	133.75	257.13	73.2	124.6	158.27	65.91	81.96	199.1
MYH14	32.8	123.45	0	3.43	600.49	19.29	21.94	143.8	24.88	65.08	232.12	450.69	135.28	60.58	0
ECHDC1	0	203.6	94.53	104.24	253.79	57.99	82.44	226.33	224.33	51.17	234.27	155.49	114.35	136.55	148.46
CFHR2	5.54	0	30.57	38.2	18.6	0	54.38	64.51	27.4	11.25	8.59	8.55	41.9	20.47	0
H3F3A	265.95	470	2212.72	662.03	576.54	191.23	761.18	387	301.38	0	257.52	700.78	395.04	545.83	326.39
PICALM	12	77.58	95.34	88.26	132.96	79.4	54.97	91.82	92	58.49	63.23	37.03	38.9	79.82	106.06
SDF2L1	0	116.3	142.93	99.24	72.48	82.81	47.09	191.53	35.59	0	66.91	133.23	15.55	35.45	66.25
WDR77	18.5	18.68	66.33	69.08	7.76	73.16	0	61.54	51.46	28.17	14.33	21.4	9.99	39.87	0
CEACAM5	2.21	0	0	0	44.55	0	0	0	0	62.87	20.56	75.05	0	0	0
HIGD1A	0	321.31	36.95	19.24	168.63	144.49	27.39	0	124.21	204.01	129.72	206.64	18.09	61.86	61.65
UBLCP1	0	13.98	112.01	111.35	0	39.82	0	30.7	22.82	0	14.3	0	14.96	17.05	25.49
PPP3CA	43.41	26.3	124.52	136.33	72.86	45.78	33.13	67.38	14.31	17.63	94.16	84.82	118.81	153.25	26.64
LIMS1	0	18.42	140.85	172.88	122.44	131.14	208.81	68.25	135.29	148.13	310.83	274.29	364.5	230.21	83.94
HNRNPA0	0	111.23	540.75	455.58	277.3	150.48	153.12	393.84	136.17	0	119.46	203.88	53.55	196.68	344.71
PKIG	21.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCHP	19.47	0	0	0	0	0	0	0	3.44	0	0	0	0	3.42	0
TRNT1	3.39	13.69	59.81	89.54	5.69	14.62	5.54	28.18	37.7	0	63	31.36	29.28	37.55	18.71
KLC4	2.47	52.48	46.41	51.17	8.31	35.59	8.09	53.5	18.36	0	99.68	76.34	40.1	39.61	9.11
FAM114A1	0	84.72	61.7	57.83	9.39	201.07	4.57	41.85	0	5.68	116.97	21.57	93.64	92.97	15.44
SLC2A1	34.55	38.06	10.39	14.43	247.73	72.26	82.18	47.01	93.18	102.03	29.19	29.06	13.57	54.14	780.48
AIMP2	43.24	131.01	143.13	176.66	153.23	145.11	0	127.86	166.33	204.89	111.67	44.47	62.29	88.76	141.53
CILP	26.91	0	2.83	10.3	0	0	33.53	0	0	2.6	3.97	7.91	29.07	6.31	2.36
RPL13A	43.22	334.66	317.91	422.13	217.64	103.6	200.3	658.96	80.16	117.02	267.87	322.25	85.61	239.53	689.63
TANGO2	0	5.54	0	12.62	18.43	47.37	0	18.26	40.72	22.3	25.52	0	41.52	40.57	20.21
LIMCH1	43.21	1.41	6.15	6.41	77.19	2	13.68	18.54	3.45	0	6.48	8.6	12.05	63.5	2.57
VAPB	0	214.19	213.34	293.85	167.52	394.72	132.63	300.86	131.1	152	270.61	259.79	168.47	222.77	241.16
M6PR	21.92	60.88	120.92	88.15	64.39	141.86	53.78	54.69	33.88	0	76.42	50.72	59.2	53.99	60.53
SNX1	43.13	113.25	161.78	218.04	106.17	140.59	108.16	143.46	78.21	35.03	106.92	106.45	124.25	180.59	127.04
SDHD	99.66	130.84	21.99	34.35	16.73	14.33	0	0	61.6	0	15.44	46.12	21.53	12.27	0
MRPL22	43.11	50.79	79.26	82.55	60.29	72.33	11.75	59.74	97.7	0	11.13	66.49	7.76	17.69	79.36
TOMM22	0	176.81	217.3	389.74	238.75	0	125.28	90.99	189.39	199.97	186.49	185.66	106.39	148.23	181.3
ME3	43.05	0	53.08	37.83	0	3.64	0	8.42	6.26	0	11.77	0	5.47	6.24	0
PCYOX1L	0	0	27.43	35.71	0	22.35	0	5.17	0	0	9.63	0	3.36	3.83	17.17
MPV17	43.04	8.69	75.97	9.89	28.89	74.27	14.08	0	21.28	0	26.67	0	0	10.6	15.85
SMTN	8.57	6.93	56.75	47.28	20.14	0	490.76	14.26	0	114.89	1275.13	1105.52	1061.37	1051.51	0
TPPP	43.01	0	23.73	32.94	24.06	10.31	35.17	47.69	8.86	87.33	211.02	232.2	185.86	61.79	0
GHITM	0	189.02	75.55	78.68	53.64	170.7	22.4	30.37	50.8	0	28.29	35.21	24.66	28.11	0
DNAJB2	42.96	9.64	47.4	38.39	16.02	27.46	15.62	31.76	11.8	0	22.19	7.36	5.16	35.27	17.58
HPGDS	0	0	0	0	24.42	0	0	0	0	0	0	11.22	7.86	8.96	281.28
PRRC1	0	40.4	36.11	37.61	6.1	26.15	0	60.49	13.49	0	5.63	39.27	19.64	13.44	40.17
MMAB	0	294.35	116.31	78.38	83.27	142.7	40.57	92.82	92	0	19.22	9.57	6.7	53.46	79.92
UQCC	0	4.96	43.33	28.2	24.72	42.36	0	0	24.28	39.87	15.21	7.57	0	0	9.04
PEPD	21.8	207.54	85.88	139.52	104.52	107.47	76.39	108.75	538.93	69.55	106.13	96.06	111.01	72.85	45.86
CCDC6	3.19	12.87	45.71	106.2	10.7	9.17	57.34	185.52	23.64	58.25	138.26	63.91	82.64	129.52	41.07
HDDC2	0	0	280.4	392.13	0	20.89	11.88	36.23	17.95	0	33.75	22.4	31.38	62.6	13.37
PGAM5	37.15	144.71	46.84	54.88	53.44	198.44	34.72	17.65	72.17	21.55	32.89	57.3	17.2	45.75	48.85
PROCR	6.37	6.43	49.18	36.58	106.88	91.58	62.49	31.77	55.11	51.72	88.8	78.58	27.52	39.21	93.79
TAX1BP3	0	12.49	95.5	113.66	83.02	106.7	182.03	164.53	76.44	175.77	249.07	209.82	93.51	121.83	136.59
MT-CYB	0	60.23	8.77	9.14	13.35	40.03	0	0	54.07	24.22	12.32	12.27	17.18	4.9	14.64
DTYMK	42.79	64.81	118.01	139.28	95.75	266.63	93.3	59.3	96.97	28.96	66.29	109.99	61.63	87.81	236.29
EIF4A3	14.5	131.74	335.82	366.39	103.39	109.44	47.41	222.99	80.64	29.43	157.2	117.38	74.38	151.72	213.47
SUGP2	2.83	1.43	106	172.08	4.74	6.1	2.31	7.05	0	0	0	6.54	1.53	8.7	2.6
PGBD5	42.76	43.18	76.2	83.13	391.93	75.68	564.82	464.94	60.99	113.53	377.08	390.63	373.07	226.81	0
PDAP1	0	66.52	308.83	454.05	0	71.04	121.19	369.7	71.25	16.72	140.31	165.09	71.15	263.61	151.57
LIMD1	4.71	11.88	7.79	16.22	19.74	0	7.7	31.3	0	0	10.94	10.89	7.63	14.49	0
PDPR	42.73	8.63	62.23	80.52	22.95	44.25	25.16	45.49	21.13	6.94	37.08	26.37	31.39	37.89	15.73
