Protein	Description	Gene	H13_1	H13_2	H16_1	H16_2	H19_1	H19_2	H22_1	H22_2	H25_1	H25_2	H28_1	H28_2	H31_1	H31_2	H34_1	H34_2	H37_1	H37_2
A0A024R3E3	Apolipoprotein A-I, isoform CRA_a	APOA1	0	0	16131.3056640625	0	0	0	0	15278.7099609375	10429.8974609375	0	10349.88671875	0	0	54895.796875	21773.681640625	0	16468.994140625	17669.775390625
A0A024R3E4	Yes-associated protein 1, 65kDa, isoform CRA_b	YAP1	38903.83984375	15186.880859375	21792.48046875	30929.193359375	37630.12890625	36056.0546875	24200.958984375	41753.7734375	37083.30859375	18710.556640625	18002.3046875	22984.8203125	36395.29296875	41713.2890625	29750.18359375	17100.08984375	23436.0625	18846.138671875
A0A024R3F4	Pleckstrin homology-like domain, family B, member 1, isoform CRA_c	PHLDB1	43099.98046875	32985.29296875	34447.62109375	36848.2734375	32704.052734375	37262.875	40800.16796875	47320.984375	42502.51953125	35504.3984375	30983.013671875	36761.484375	30419.154296875	40489.859375	41099.14453125	24287.99609375	27155.607421875	22202.91796875
A0A024R3H3	Loss of heterozygosity, 11, chromosomal region 2, gene A, isoform CRA_b	LOH11CR2A	7841.49169921875	31068.798828125	0	10077.1455078125	0	0	24131.0390625	5486.6611328125	14136.3427734375	0	5097.37255859375	0	13769.52734375	1715.32885742188	0	12158.9560546875	4595.736328125	13049.71484375
A0A024R3H8	Dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase), isoform CRA_a	DPAGT1	31071.916015625	34630.5234375	48387.90234375	115417.90625	132582.4375	38249.8828125	37890.765625	20619.46484375	57980.671875	65209.79296875	0	60305.84765625	29951.55859375	41166.58203125	23744.595703125	153028.109375	53625.328125	72141.140625
A0A024R3H9	Solute carrier family 37 (Glycerol-6-phosphate transporter), member 4, isoform CRA_a	SLC37A4	21014.80859375	26829.361328125	29145.095703125	20948.103515625	27042.63671875	20855.716796875	27351.64453125	19722.3125	21168.318359375	0	21942.1015625	29182.619140625	20055.716796875	23805.19140625	16759.6171875	35252.45703125	22768.46875	19847.912109375
A0A024R3I5	Melanoma cell adhesion molecule, isoform CRA_a	MCAM	33167.8515625	25922.658203125	34878.1640625	36459.36328125	28536.033203125	35232.5859375	32917.94921875	30031.966796875	36216.72265625	68897.640625	31111.228515625	56720.2265625	57024.11328125	50544.06640625	41384.9765625	30367.611328125	55244.22265625	54694.58203125
A0A024R3I8	Etoposide induced 2.4 mRNA, isoform CRA_a	EI24	78718.2890625	74346.234375	101129.6484375	74931.6328125	83722.8359375	97561.2421875	77371.015625	86800.953125	77737.7421875	77396.25	89790.5390625	86534.3828125	82848.5625	76282.8984375	124506.3671875	109776.40625	121934.4375	75465.7421875
A0A024R3K9	Nuclear factor related to kappaB binding protein, isoform CRA_c	NFRKB	11625.9521484375	9835.7978515625	12759.8544921875	13791.779296875	10903.935546875	10813.6318359375	9962.7568359375	14988.6015625	11812.421875	11222.5888671875	12947.37109375	8518.236328125	7003.25390625	0	7671.169921875	6270.63330078125	0	6718.361328125
A0A024R3L9	Vacuolar protein sorting 26 homolog B (Yeast), isoform CRA_a	VPS26B	22221.109375	21087.603515625	22888.908203125	26371.169921875	24665.236328125	22445.80859375	22953.11328125	26035.21875	19889.404296875	22612.9921875	27497.220703125	20484.849609375	23022.962890625	25150.20703125	31699.55078125	25635.49609375	31011.228515625	30494.2109375
A0A024R3M1	Thymocyte nuclear protein 1, isoform CRA_a	THYN1	44461.55078125	62299.30859375	60613.890625	51939.109375	50797.59765625	53567.64453125	43205.2890625	50442.23828125	40842.109375	43361.3828125	45678.3671875	48179.3828125	37298.109375	28694.82421875	37347.75	32447.7734375	27130.18359375	27428.375
A0A024R3M2	HCG39893, isoform CRA_a	GRAMD1B	4322.11279296875	3895.20092773438	9608.0498046875	13596.283203125	14504.580078125	4528.9072265625	0	0	6117.439453125	4569.34033203125	0	0	0	10726.994140625	0	0	0	0
A0A024R3N3	Amyloid beta (A4)-like protein 2, isoform CRA_a	APLP2	40986.4609375	19633.244140625	20932.384765625	26483.287109375	26588.3515625	25070.4296875	25843.884765625	25250.01953125	32197.3125	22848.802734375	20024.240234375	29077.494140625	33397.49609375	38219.23828125	32119.474609375	25669.146484375	31446.6640625	29186.494140625
A0A024R3P1	Degenerative spermatocyte homolog 1, lipid desaturase (Drosophila), isoform CRA_a	DEGS1	50479.1171875	53158.48828125	60977.8515625	55649.62890625	79090.9609375	58348.3984375	66510.03125	69372.984375	90577.859375	97350.90625	84205.546875	98115.6328125	69793.2578125	86677.3984375	84754.2265625	118160.65625	76364.7265625	87305.5078125
A0A024R3P9	Acyl-Coenzyme A binding domain containing 3, isoform CRA_a	ACBD3	57767.8046875	44410.30078125	47592.69140625	58570.484375	58058.66796875	61247.33984375	65181.703125	70992.6953125	64148.64453125	71137.625	63464.4453125	59884.91015625	66684.9765625	80669.5390625	88205.1171875	88926.546875	123476.8125	91816.6796875
A0A024R3R2	Geranylgeranyl diphosphate synthase 1, isoform CRA_a	GGPS1	8192.974609375	9191.7490234375	10281.7177734375	18734.19921875	5359.57470703125	14522.0234375	5583.1376953125	12460.1796875	17810.109375	15924.353515625	11938.294921875	18401.13671875	25399.759765625	13600.671875	11179.095703125	19875.6484375	16341.7724609375	18428.828125
A0A024R3R5	Lamin B receptor, isoform CRA_a	LBR	99552.46875	113393.671875	112408.59375	126906.9140625	124959.3984375	124511.1328125	108084.6171875	109402.7421875	105910.671875	106648.03125	100071.3984375	97539.5078125	75829.9375	93230.8671875	77686.578125	75640.6171875	63139.66015625	94113.1796875
A0A024R3T2	Potassium channel subfamily K member	KCNK1	0	41256.65234375	0	16608.34375	25211.6328125	0	14624.287109375	0	26974.17578125	23775.38671875	14532.6162109375	0	32867.9453125	0	20424.74609375	0	0	0
A0A024R3T8	Poly [ADP-ribose] polymerase	PARP1	137349.90625	136201.703125	138635.703125	154488.453125	136177.953125	140403.71875	145601.453125	141575.296875	124291.7734375	132270.53125	127115.296875	147045.5	92219.453125	114820.484375	137069.296875	108279.375	116524.7578125	112585.984375
A0A024R3U3	Mitochondrial ribosomal protein L55, isoform CRA_a	MRPL55	43453.703125	55958.65234375	61385.35546875	53124.3359375	44375.7421875	62166.7421875	44253.296875	51299.328125	47372.7890625	52914.06640625	42501.1796875	51659.71875	41760.56640625	45582.25	47762.4609375	47760.6171875	35352.5234375	40412.93359375
A0A024R3U8	Uncharacterized protein	FLJ22555	55684.859375	56038.875	56573.08984375	54731.12890625	44532.01171875	55984.13671875	48475.01953125	54320.2421875	52891.72265625	43180.39453125	55246.6640625	45564.7578125	47260.81640625	43606.921875	51506.484375	67003.765625	49060.69140625	65544.2578125
A0A024R3U9	RAB4A, member RAS oncogene family, isoform CRA_b	RAB4A	72329.5859375	72381.8125	75387.2734375	74266.2265625	77017.8359375	73157.046875	72546.96875	69750.2421875	79287.0859375	84309.546875	90695.7421875	88971.390625	107275.2890625	91962.5	105819.046875	105844.6015625	111604.6640625	122022.078125
A0A024R3V0	DNA polymerase-transactivated protein 6, isoform CRA_a	DNAPTP6	71921.7109375	71257.875	65305.890625	78004.984375	82451.34375	75266.953125	84749.75	78234.90625	84944.53125	89275.7421875	78192.7734375	82656.2734375	68238.734375	64057	63396.82421875	61070.9296875	58132.2734375	55187.9921875
A0A024R3V4	Peptidyl-prolyl cis-trans isomerase (Fragment)	PPIL3	10525.693359375	9280.1650390625	8418.3173828125	10565.1611328125	9730.955078125	8334.265625	12790.1962890625	9466.90625	0	0	4515.966796875	0	0	0	0	0	0	8019.18798828125
A0A024R3V5	NIF3-like protein 1	NIF3L1	16440.44921875	10636.4404296875	14177.16015625	13159.9365234375	17709.650390625	15124.3876953125	15047.5693359375	17630.603515625	17270.76171875	15563.775390625	16505.79296875	14730.0322265625	9646.4921875	23909.04296875	13302.669921875	17410.884765625	12803.865234375	16511.22265625
A0A024R3V6	ARV1 homolog (Yeast), isoform CRA_b	ARV1	5911.2333984375	6451.77001953125	8229.658203125	7902.62646484375	8209.9326171875	7399.060546875	7597.11572265625	7815.4912109375	7038.59326171875	7664.1044921875	7376.8701171875	7073.89306640625	8075.85107421875	11029.8671875	8637.4990234375	8233.2333984375	7767.4970703125	3935.31469726563
A0A024R3V8	Translin-associated factor X, isoform CRA_c	TSNAX	20288.248046875	24144.521484375	19286.720703125	18931.671875	21796.21875	21496.623046875	19262.53125	15994.599609375	14671.40234375	24711.640625	15159.9775390625	14959.3544921875	21898.55859375	18927.005859375	7748.4248046875	18893.869140625	17149.05859375	14209.50390625
A0A024R3W2	Translocase of outer mitochondrial membrane 20 homolog (Yeast), isoform CRA_a	TOMM20	1973386.125	1384305.375	2477818.25	1890199	2154013	1797246.25	1591705	1089039	1539870.25	688133.6875	1174746	1077437.5	714840.5625	328890.78125	665939.625	780087.5625	623741.25	363031.34375
A0A024R3W5	Solute carrier family 39 (Zinc transporter), member 10, isoform CRA_a	SLC39A10	31605.92578125	17173.60546875	36299.63671875	40161.9140625	31973.326171875	11858.5087890625	25433.52734375	11684.052734375	12735.6796875	11590.4033203125	10383.869140625	26027.78125	14105.359375	29128.44140625	42018.80078125	32911.12109375	16326.658203125	35104.0703125
A0A024R3W7	Eukaryotic translation elongation factor 1 beta 2, isoform CRA_a	EEF1B2	958727.4375	933209.4375	1219539.25	834282.5	1046468.375	990875.25	1105494.375	1088204.75	1319224	1100836	872189	732768.125	1039476.3125	1011679.625	1288125	972805.3125	1009382.8125	958925.6875
A0A024R3X4	Epididymis secretory sperm binding protein (Fragment)	HSPD1	1354800.125	1420878.25	1503582.75	1217379.25	1221914.375	1394963.25	1252517.875	1172104.625	1182566	1245292.125	1225194.75	1067201.375	1029368.125	1000073.25	1114203.125	1117831.875	965319.25	949519.375
A0A024R3X5	KIAA0971, isoform CRA_b	KIAA0971	23114.05859375	15392.9794921875	21995.3828125	19207.572265625	20288.806640625	25088.599609375	24501.658203125	22639.482421875	21605.958984375	20889.080078125	18574.21484375	26251.806640625	15503.30078125	29418.419921875	34012.03515625	19826.04296875	20486.17578125	71543.3359375
A0A024R3X9	Preimplantation protein 3, isoform CRA_a	PREI3	31519.28515625	75675.5546875	85647.9609375	67022.03125	52461.3125	63007.53125	57893.109375	77473.90625	72355.765625	64601.640625	87004.96875	84088.859375	72794.1484375	114442.5	56636.1015625	87034.125	78960.171875	58123.41015625
A0A024R3Y6	Isocitrate dehydrogenase [NADP]	IDH1	99102.2109375	149262.078125	111857.6328125	93124.6171875	80885.640625	99031.7109375	88259.2265625	102382.125	87050.8828125	83228.1875	109408.953125	90776.9453125	99338.09375	118551.2578125	122245.8515625	128882.109375	97190.6953125	121596.71875
A0A024R3Y8	Microtubule-associated protein	MAP2	13266.259765625	16578.701171875	39594.9453125	14455.931640625	12354.228515625	12568.5185546875	14227.7626953125	35162.6875	15850.208984375	79594.3671875	11256.0654296875	0	0	0	0	0	13503.349609375	13579.7705078125
A0A024R3Z2	Small ubiquitin-related modifier	SUMO1	31076.80078125	38251.3984375	45703.21484375	44209.1796875	42859.7890625	45819.16796875	45969.59375	43237.77734375	34322.40625	34007.3125	42850.171875	31814.3203125	34757.1640625	30087.978515625	44226.0859375	37565.3203125	32089.517578125	38082.99609375
A0A024R3Z5	LanC lantibiotic synthetase component C-like 1 (Bacterial), isoform CRA_b	LANCL1	54157.66796875	55388.7734375	60157.4921875	67372.0390625	65885.8125	55022.8515625	57768.83984375	56953.1875	49554.51171875	57823.31640625	64257.84765625	59088.52734375	69351.1796875	53815.51171875	72052.125	85907.1875	72331.9453125	72110.3359375
A0A024R3Z8	HCG16983, isoform CRA_b	hCG_16983	15682.7470703125	19918.87109375	24807.453125	15096.5673828125	18181.224609375	15181.662109375	10975.32421875	19985.625	13882.3935546875	21217.744140625	20167.541015625	19984.419921875	17053.8359375	10590.978515625	20237.51171875	18185.75	15934.2666015625	20226.5625
A0A024R411	Origin recognition complex, subunit 2-like (Yeast), isoform CRA_a	ORC2L	9930.6044921875	5500.79150390625	168847.453125	13287.3759765625	361476.78125	92767.984375	22399.16796875	19345.29296875	10848.9658203125	4124.6787109375	6737.71826171875	2074.71215820313	502226.8125	443944.3125	3214.927734375	1628216	243614.65625	0
A0A024R413	NADH dehydrogenase (Ubiquinone) 1 beta subcomplex, 3, 12kDa, isoform CRA_a	NDUFB3	206347.4375	220894.84375	158671.34375	214642.796875	225446.375	214386	188852.625	186006.75	184050.828125	168195.53125	168754.03125	150014.5625	134176	130406.390625	150019.921875	121134.796875	145735	166469.875
A0A024R414	CTD (Carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1, isoform CRA_b (Fragment)	CTDSP1	52561.42578125	34794.11328125	43095.1484375	42159.11328125	45967.2109375	44849.49609375	33250.0078125	43946.73046875	41467.33984375	39999.75390625	49159.48046875	49325.61328125	41896.39453125	35577.359375	39492.1875	45452.30078125	39841.72265625	46469.90234375
A0A024R415	Paroxysmal nonkinesiogenic dyskinesia, isoform CRA_a	PNKD	61787.34765625	67014.4375	64584.62890625	59967.07421875	56154.58203125	63271.48046875	30735.001953125	52899.1171875	32810.359375	52208.31640625	47514.00390625	22838.333984375	58749.35546875	57402.921875	68505.546875	58857.9609375	63527.046875	81550.7890625
A0A024R438	Autophagy-related protein 9	ATG9A	15894.88671875	11693.1943359375	32979.2578125	10840.421875	9661.236328125	12828.19921875	14544.3759765625	17658.37890625	14494.5185546875	13748.9560546875	13666.1474609375	19890.83984375	10677.6650390625	19477.529296875	10866.791015625	10899.9443359375	12052.724609375	14923.9755859375
A0A024R445	BCS1-like (Yeast), isoform CRA_a	BCS1L	23928.888671875	22917.984375	26721.158203125	20130.228515625	24743.912109375	26195.263671875	20953.138671875	21640.1015625	22145.021484375	20177.76171875	23718.97265625	19502.904296875	19057.376953125	21199.37109375	33488.00390625	28680.984375	26075.43359375	24506.556640625
A0A024R451	Serpin peptidase inhibitor, clade E (Nexin, plasminogen activator inhibitor type 1), member 2, isoform CRA_a	SERPINE2	197105.515625	151218.265625	119368.5	127423.75	206222.328125	185271.015625	191282.453125	128390.859375	192399.4375	226659.421875	137577.53125	280128.375	226503.015625	285399.5625	211850.40625	234062.1875	286555.375	266712.03125
A0A024R454	Carbamoyl-phosphate synthetase 1, mitochondrial, isoform CRA_a	CPS1	61177.6484375	38820.83984375	29710.76953125	30862.49609375	43166.4921875	47710.29296875	70126.046875	63667.0859375	66142.234375	36377.70703125	66949.296875	27687.677734375	44740.08203125	42314.53125	54388.67578125	47076.390625	28944.671875	31216.4375
A0A024R462	Fibronectin 1, isoform CRA_n	FN1	689103.0625	519607.625	768513	779984	1011612.1875	816690.25	643909.6875	749462.6875	684330.5625	896878.625	1003828.375	1336589.75	891682.3125	743187.625	855729.4375	970433.5625	634607	679134.1875
A0A024R468	Chondroitin polymerizing factor, isoform CRA_d	CHPF	17172.232421875	38268.0625	17919.921875	11198.71875	32657.533203125	19692.466796875	34680.85546875	35284.8046875	15031.123046875	15667.5322265625	24970.11328125	25663.48046875	9778.8701171875	19714.431640625	31871.560546875	9223.0302734375	18148.78125	18811.2265625
A0A024R471	COP9 constitutive photomorphogenic homolog subunit 7B (Arabidopsis), isoform CRA_b	COPS7B	16525.818359375	6839.3798828125	15492.9921875	6621.69140625	2457.05151367188	8020.60888671875	6918.5146484375	8460.3203125	2855.81884765625	10239.1025390625	18802.83984375	15895.4296875	10088.7255859375	13616.6640625	4619.40673828125	7663.23583984375	6797.23681640625	8805.5703125
A0A024R472	Transmembrane BAX inhibitor motif containing 1, isoform CRA_a	TMBIM1	168401.515625	148825.796875	150719.046875	160642.65625	167949	179364.234375	149583.796875	152059.765625	109034.3125	215758.296875	154439.640625	169320.6875	252023.53125	148179.34375	104749	253096.28125	307081.5	282630.21875
A0A024R475	Cullin 3, isoform CRA_a	CUL3	25136.373046875	27025.326171875	29052.052734375	26688.326171875	23513.708984375	28668.37109375	26308.751953125	28696.005859375	23962.349609375	24746.44140625	28290.021484375	28394.333984375	21676.646484375	22297.0859375	27831.185546875	20547.298828125	24696.5859375	19648.1875
A0A024R487	Acyl-CoA synthetase long-chain family member 3, isoform CRA_a	ACSL3	269346.15625	285879.78125	336799	313166.84375	342946.375	314804.1875	324521.34375	307672.3125	328916.6875	328160.15625	330322.15625	307402.59375	277729.5	261623.734375	339630.46875	266890.46875	279578.6875	280658.75
A0A024R488	WD repeat and FYVE domain containing 1, isoform CRA_a	WDFY1	79077.265625	85009.953125	78565.421875	75359.625	76687.375	69074.875	81664.8828125	90766.453125	78138.3515625	82101.53125	105040.3046875	106860.9453125	101975.4765625	111696.9921875	110933.578125	121929.1171875	107579.578125	128361.0859375
A0A024R493	EF-hand domain family, member D1, isoform CRA_a	EFHD1	21247.833984375	8561.1103515625	4674.78125	9951.11328125	35070.6875	33826.75	8117.96875	15182.107421875	20506.25390625	12926.8642578125	21314.458984375	26151.7578125	22349.8359375	24442.97265625	12451.9052734375	36219.04296875	41982.359375	36430.34375
A0A024R494	ATG16 autophagy related 16-like 1 (S. cerevisiae), isoform CRA_b	ATG16L1	12145.7470703125	7559.40966796875	6064.3681640625	6691.46044921875	9108.626953125	6674.154296875	11076.1240234375	11527.73828125	16339.048828125	10130.6123046875	16968.857421875	12088.51953125	8933.703125	16624.98828125	16472.25	8632.41015625	6355.26953125	8395.4794921875
A0A024R496	Calcium binding protein 39, isoform CRA_a	CAB39	23020.90625	24447.416015625	32303.685546875	24295.802734375	20434.900390625	22937.939453125	25096.20703125	23164.326171875	19241.10546875	23168.94140625	25166.01171875	24942.0703125	17315.806640625	16328.958984375	32752.291015625	21731.623046875	21878.328125	20132.556640625
A0A024R498	Serpin peptidase inhibitor, clade E (Nexin, plasminogen activator inhibitor type 1), member 2, isoform CRA_b	SERPINE2	34817.51953125	25885.701171875	19445.541015625	38077.80859375	37164.75390625	25288.068359375	32628.923828125	21917.505859375	17705.39453125	36900.63671875	16527.833984375	46904.73828125	49684.55078125	28002.9296875	32871.8359375	45256.84375	48502.96875	22793.990234375
A0A024R4A4	RAB17, member RAS oncogene family, isoform CRA_a	RAB17	35773.171875	24290.873046875	48542.45703125	29860.38671875	36054.9453125	29584.04296875	31311.8515625	31877.509765625	39201.89453125	31728.037109375	31993.451171875	33583.0546875	34332.53125	39213.08984375	56836.94921875	40860.69921875	25063.408203125	43629.109375
A0A024R4A5	Trinucleotide repeat containing 15, isoform CRA_a	TNRC15	21982.326171875	16870.19921875	18559.845703125	20476.25390625	16310.9140625	15960.431640625	20454.67578125	15603.341796875	17099.30859375	14128.802734375	11383.890625	10345.373046875	14307.796875	20693.158203125	16669.8515625	14001.4609375	13325.7734375	14932.046875
A0A024R4A8	BCL2-related ovarian killer, isoform CRA_a	BOK	10603.880859375	10537.8486328125	12397.740234375	11753.17578125	11828.109375	12196.947265625	10656.65625	13708.283203125	14699.4541015625	14607.8955078125	17435.01171875	21764.1796875	25943.52734375	19176.998046875	27425.4375	32721.5390625	33066.81640625	30761.046875
A0A024R4B2	Serine/threonine kinase 25 (STE20 homolog, yeast), isoform CRA_a (Fragment)	STK25	23658.349609375	21652.638671875	25588.193359375	19579.04296875	25820.919921875	21288.212890625	30302.21875	36250.1171875	31450.89453125	22121.341796875	26946.451171875	28812.8046875	20695.2890625	28630.462890625	31462.13671875	21158.75	32811.25390625	26554.080078125
A0A024R4D1	COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis), isoform CRA_a	COPS8	66526.8515625	65974.3359375	74253.078125	50718.80078125	68086.6015625	60788.18359375	65439.40625	70302.0625	59184.75390625	55608.30078125	66367.984375	60446.12109375	59182.09765625	66382.09375	68666.265625	61352.671875	60565.703125	68485.734375
A0A024R4E1	Nicotinamide-nucleotide adenylyltransferase	NMNAT1	32598.185546875	40743.6171875	44985.34375	41360.4765625	40726.83203125	43831.07421875	45101.79296875	40540.484375	33673.9765625	46729.5703125	43302	42799.6796875	42133.7578125	41703.80859375	44842.453125	39215.74609375	44419.55859375	41478.43359375
A0A024R4E2	TAR DNA binding protein, isoform CRA_b	TARDBP	201331.0625	222239.453125	279176.53125	273693.28125	230668.96875	264883.3125	269451.09375	231011.484375	234468.421875	163576.34375	182475.9375	130372.0078125	166787.828125	147393.53125	257599.859375	172411.015625	131570.90625	140447.546875
A0A024R4E5	High density lipoprotein binding protein (Vigilin), isoform CRA_a	HDLBP	505851.65625	577837.375	564500.125	540042.1875	561809.875	559880.0625	492585.875	479455.5	498235	504480.3125	562273.8125	438720.75	525965.5	470436.78125	543211	437461.53125	457438.625	444914.625
A0A024R4E7	Peroxisomal biogenesis factor 11B, isoform CRA_a	PEX11B	82307.6171875	90821.5546875	87390.0625	63796.11328125	82112.40625	75301.5078125	75588.65625	80311.765625	73147.40625	65752.59375	103443.46875	99347.3125	89144.6796875	104693.8203125	141232.4375	101609.609375	161161.796875	125393.0234375
A0A024R4F1	Enolase 1, (Alpha), isoform CRA_a	HEL-S-17	1569940.5	1675301.5	2018998.375	1771391.75	1647191.5	1663145.625	1675724.375	1826275.25	1534968.25	1450660.125	1628215.375	1650129.375	1553341.375	1394533.75	1911315.125	1836806.75	1651786.875	1728011
A0A024R4F4	DNA polymerase	POLD1	12801.984375	12789.40625	13955.408203125	12045.7421875	12344.64453125	11205.4560546875	15680.951171875	17815.408203125	16355.4091796875	15880.3837890625	5100.65478515625	15175.9404296875	31595.05859375	6406.2841796875	6083.7783203125	118447.625	0	4644.6015625
A0A024R4F6	Protein-S-isoprenylcysteine O-methyltransferase	ICMT	125501.671875	101870.7578125	137265.296875	111737.484375	126934.5859375	137205.0625	114613.421875	129829.4375	125210.2578125	125180.359375	130048.796875	149555.46875	124830.6171875	123562.8515625	139303.3125	129543.640625	145543.046875	129256.828125
A0A024R4I7	Leucine zipper and CTNNBIP1 domain containing, isoform CRA_a	LZIC	26218.25	24899.59765625	34937.8671875	26139.607421875	33967.3046875	43861.4375	21396.416015625	40958.08203125	31696.53515625	33984.84765625	33952.0390625	31791.765625	28751.79296875	27449.740234375	37126.640625	33060.74609375	47948.4765625	27596.103515625
A0A024R4K3	Malate dehydrogenase	MDH2	2405190.25	2328658.75	2330929	2035591.25	1804035.875	2458100.5	1792081.875	2210904.25	1959155.75	1986543.25	2195950.5	2136896	2143028.75	1860527.75	2796219.25	2826330.5	2855847.75	2605531.75
A0A024R4K9	Transmembrane protein 120A	TMEM120A	62486.0703125	70998.6484375	61452.546875	48515.76953125	49916.42578125	69625.6953125	53434.34765625	52946.2109375	48636.6328125	56526.0390625	60558.8359375	49502.875	52152.29296875	48965.1640625	56847.8203125	50513.171875	63040.21484375	75939.046875
A0A024R4M0	Ribosomal protein S9, isoform CRA_a	RPS9	2053610.25	2074249.25	2044484.625	2185704	2044533.125	2286280.75	2041623	2041806.75	2347444	2155136	2237290.25	2443638.25	2058750.875	1969756.625	2107423.5	1974459.25	1796995	1637056.375
A0A024R4M8	Retinol dehydrogenase 13 (All-trans and 9-cis), isoform CRA_a	RDH13	29927.919921875	28444.79296875	30349.552734375	24006.013671875	26348.599609375	32645.6875	35190.0234375	36596.01171875	28996.044921875	32107.65625	40030.328125	29706.435546875	33978.4609375	32407.685546875	45807.6484375	45652.625	43768.0078125	35472.30078125
A0A024R4N0	HCG1640809, isoform CRA_b	hCG_1640809	1791032.125	1275633.625	1424549.25	1149055.875	1324180.375	2023387.75	1217469.375	1347796.375	1465880.375	1426386.25	1345806.625	2040322.625	1557637	1656313.25	1314759.625	1675839.25	2060773.375	2079981.25
A0A024R4N9	tRNA-splicing endonuclease subunit Sen34	TSEN34	6830.30419921875	9439.4091796875	8709.2216796875	11764.478515625	7452.15576171875	6465.2607421875	8018.21337890625	10380.2412109375	10307.6142578125	12592.451171875	8178.86376953125	9814.8369140625	6607.03466796875	11332.1220703125	8374.2275390625	8199.15234375	6236.81005859375	0
A0A024R4Q8	Ribosomal protein S5, isoform CRA_a	RPS5	874855.1875	765312	798539.25	800940.3125	788031.125	849353.5625	814477.9375	876433.875	871751.3125	779815.375	728667	697003.25	744390.5	722801.8125	741018.8125	660604.875	718763	704045.4375
A0A024R4R3	CCR4-NOT transcription complex, subunit 3, isoform CRA_a	CNOT3	7818.5712890625	12265.623046875	15643.8037109375	16322.4208984375	9673.3095703125	14942.6689453125	32647.1640625	19242.138671875	27806.4765625	11398.5224609375	12332.8291015625	11418.478515625	12744.12109375	10997.8818359375	12317.3671875	10763.533203125	9529.8388671875	9640.673828125
A0A024R4R9	Leukocyte receptor cluster (LRC) member 8, isoform CRA_a	LENG8	8464.220703125	5975.625	8243.90625	8157.2626953125	7035.44140625	5646.29052734375	8142.03662109375	6996.6494140625	8368.51171875	8849.44140625	5279.875	9770.095703125	0	7732.64013671875	3795.158203125	0	0	0
A0A024R4S0	Chromatin modifying protein 2A, isoform CRA_b	CHMP2A	134227.296875	140826.9375	161327.40625	143451.15625	157615.484375	144649.875	144261.0625	123747.5078125	132365.09375	118163.125	135357.265625	120306.4140625	130200.46875	89497.5859375	134602.28125	108220.8515625	109073.046875	88626.625
A0A024R4S2	Protein phosphatase 1 regulatory subunit	PPP1R12C	27923.84765625	32342.10546875	27619.98828125	31978.798828125	32932.8203125	25638.943359375	37707.125	37443.875	39163.58984375	35748.41796875	29205.357421875	32158.583984375	36118.61328125	33210.69921875	29963.298828125	24142.58984375	31933.9140625	25573.455078125
A0A024R4T4	Epididymis secretory sperm binding protein	UBE2M	71831.7421875	62521.5859375	79165.3828125	72501.4453125	72358.875	66509.9921875	73289.3359375	63867.41796875	59643.453125	59092.734375	105720.359375	64321.73828125	63914.140625	55288.3671875	65029.6328125	56039.5234375	63859.93359375	62831.06640625
A0A024R4U3	Tubulin tyrosine ligase-like family, member 12, isoform CRA_a	TTLL12	24287.857421875	20946.53515625	23812.849609375	21855.248046875	19929.6953125	23123.185546875	27677.33984375	27711.953125	21108.041015625	21270.990234375	22132.833984375	24418.0703125	19219.34765625	19030.3671875	37538.44140625	21999.568359375	28045.93359375	35963.20703125
A0A024R4V5	Bromodomain containing 1, isoform CRA_a	BRD1	19775.4921875	14879.6787109375	14604.642578125	15237.7451171875	10580.04296875	18085.091796875	25815.51953125	22164.798828125	20482.599609375	5243.771484375	16463.52734375	2593.95239257813	5117.3447265625	1861.35656738281	19959.38671875	1679.84851074219	2603.89013671875	0
A0A024R4V6	Mannosyltransferase	ALG12	34080.7421875	35338.36328125	63359.10546875	29096.23046875	40132.765625	33302.0234375	35680.30859375	31568.734375	36383.75	30185.8046875	32131.17578125	42881.10546875	36953.171875	32415.302734375	42967.7734375	47778.984375	55252.61328125	48003.109375
A0A024R4X0	NADH-cytochrome b5 reductase	CYB5R3	1040380.3125	1233056	1220974.625	1035197.8125	1252270.875	1251907	1008220.5625	1069243.75	1129695.875	1206034.75	1295475.625	1453257.125	1404763.75	1191855.875	1338084.25	1576989.125	1799092.125	1565042.75
A0A024R4X4	HCG16873, isoform CRA_a	hCG_16873	0	74123.375	136957.59375	0	0	0	0	0	0	0	18367.421875	0	304583.25	0	90327.46875	0	12630.7216796875	0
A0A024R4X7	HCG1989366, isoform CRA_a	hCG_1989366	21355.53125	14423.7119140625	3735.22778320313	24259.0078125	20517.6640625	13699.2392578125	26313.3359375	23803.052734375	29411.212890625	37351.70703125	0	31187.529296875	55399.79296875	44909.6953125	2732.27490234375	0	0	0
A0A024R4Y2	HCG39762, isoform CRA_c	hCG_39762	47294.3125	36955.421875	33060.359375	31283.63671875	28646.90625	33035.3515625	26803.041015625	28517.533203125	23283.998046875	21325.57421875	8341.1689453125	0	14573.6337890625	14125.724609375	7730.58984375	0	3419.20336914063	6148.7236328125
